
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x000001749671B5B0>, selection=<algorithms.genetic.selection.RouletteSelection object at 0x00000174F7A265E0>, crossover=<algorithms.genetic.crossover.EdgeRecombinationCrossover object at 0x00000174F7AC27C0>, parent_generator=<algorithms.genetic.crossover.PanmixiaParentGenerator object at 0x00000174F7AC25E0>, mutation=<algorithms.genetic.mutation.TwoOptMutation object at 0x000001749671B250>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);372.2722839287309;0
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x00000243ED11B2B0>, selection=<algorithms.genetic.selection.TournamentSelection object at 0x00000243CE4A65E0>, crossover=<algorithms.genetic.crossover.OrderCrossover object at 0x00000243ED11B3D0>, parent_generator=<algorithms.genetic.crossover.InbreedingParentGenerator object at 0x00000243ED11B400>, mutation=<algorithms.genetic.mutation.SwapMutation object at 0x00000243ED11B5B0>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);468.88108083210375;[459.4487002854322, 470.2994316485359, 464.6020893886873, 452.23221371299223, 497.82296912487084];0
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x00000243CE5482B0>, selection=<algorithms.genetic.selection.TournamentSelection object at 0x00000243CE4A65E0>, crossover=<algorithms.genetic.crossover.OrderCrossover object at 0x00000243ED11B3D0>, parent_generator=<algorithms.genetic.crossover.InbreedingParentGenerator object at 0x00000243ED11B400>, mutation=<algorithms.genetic.mutation.ScrambleMutation object at 0x00000243ED11B4F0>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);442.26334661716754;[466.2038819614689, 423.2647871731054, 421.9574614075241, 445.1264641971721, 454.7641383465675];0
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x00000243ED217D00>, selection=<algorithms.genetic.selection.TournamentSelection object at 0x00000243CE4A65E0>, crossover=<algorithms.genetic.crossover.OrderCrossover object at 0x00000243ED11B3D0>, parent_generator=<algorithms.genetic.crossover.InbreedingParentGenerator object at 0x00000243ED11B400>, mutation=<algorithms.genetic.mutation.TwoOptMutation object at 0x00000243ED11B640>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);463.005833951423;[456.0472384604262, 462.89528613392815, 423.43939602046976, 503.81421865537993, 468.83303048691084];0
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x00000243ED2535E0>, selection=<algorithms.genetic.selection.TournamentSelection object at 0x00000243CE4A65E0>, crossover=<algorithms.genetic.crossover.OrderCrossover object at 0x00000243ED11B3D0>, parent_generator=<algorithms.genetic.crossover.OutbreedingParentGenerator object at 0x00000243ED11B490>, mutation=<algorithms.genetic.mutation.SwapMutation object at 0x00000243ED11B5B0>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);516.2809245377819;[506.63766446336183, 571.9742368106009, 547.4394440804997, 510.8098091041026, 444.54346823034416];0
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x00000243ED157850>, selection=<algorithms.genetic.selection.TournamentSelection object at 0x00000243CE4A65E0>, crossover=<algorithms.genetic.crossover.OrderCrossover object at 0x00000243ED11B3D0>, parent_generator=<algorithms.genetic.crossover.OutbreedingParentGenerator object at 0x00000243ED11B490>, mutation=<algorithms.genetic.mutation.ScrambleMutation object at 0x00000243ED11B4F0>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);487.21008302851897;[463.22223659714547, 483.7858114037976, 487.3745452765884, 512.8044184586784, 488.8634034063848];0
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x00000243ED16B0A0>, selection=<algorithms.genetic.selection.TournamentSelection object at 0x00000243CE4A65E0>, crossover=<algorithms.genetic.crossover.OrderCrossover object at 0x00000243ED11B3D0>, parent_generator=<algorithms.genetic.crossover.OutbreedingParentGenerator object at 0x00000243ED11B490>, mutation=<algorithms.genetic.mutation.TwoOptMutation object at 0x00000243ED11B640>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);528.1457419116175;[535.45849284827, 482.86045879752163, 486.87895065847795, 561.9839508283792, 573.5468564254388];0
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x00000243ED1F5E50>, selection=<algorithms.genetic.selection.TournamentSelection object at 0x00000243CE4A65E0>, crossover=<algorithms.genetic.crossover.OrderCrossover object at 0x00000243ED11B3D0>, parent_generator=<algorithms.genetic.crossover.PanmixiaParentGenerator object at 0x00000243ED11B460>, mutation=<algorithms.genetic.mutation.SwapMutation object at 0x00000243ED11B5B0>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);468.58021573822987;[429.09890067676974, 495.0474928337813, 479.98055086110236, 469.9554110533022, 468.81872326619407];0
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x00000243ED1F5D60>, selection=<algorithms.genetic.selection.TournamentSelection object at 0x00000243CE4A65E0>, crossover=<algorithms.genetic.crossover.OrderCrossover object at 0x00000243ED11B3D0>, parent_generator=<algorithms.genetic.crossover.PanmixiaParentGenerator object at 0x00000243ED11B460>, mutation=<algorithms.genetic.mutation.ScrambleMutation object at 0x00000243ED11B4F0>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);466.81162169747313;[472.48378169287736, 476.67610794871035, 462.51111692547937, 447.1987992229333, 475.18830269736515];0
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x00000243ED2531F0>, selection=<algorithms.genetic.selection.TournamentSelection object at 0x00000243CE4A65E0>, crossover=<algorithms.genetic.crossover.OrderCrossover object at 0x00000243ED11B3D0>, parent_generator=<algorithms.genetic.crossover.PanmixiaParentGenerator object at 0x00000243ED11B460>, mutation=<algorithms.genetic.mutation.TwoOptMutation object at 0x00000243ED11B640>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);479.20922791452904;[516.6805505953391, 468.0763405225491, 454.8679830957431, 516.297533585615, 440.12373177339913];0
GeneticAlgorithm.Settings(creation=<algorithms.genetic.creation.RandomCreation object at 0x00000243ED1F5190>, selection=<algorithms.genetic.selection.TournamentSelection object at 0x00000243CE4A65E0>, crossover=<algorithms.genetic.crossover.EdgeRecombinationCrossover object at 0x00000243ED11B430>, parent_generator=<algorithms.genetic.crossover.InbreedingParentGenerator object at 0x00000243ED11B400>, mutation=<algorithms.genetic.mutation.SwapMutation object at 0x00000243ED11B5B0>, population_size=1000, iterations=500, survived=0.6, mutated=0.3);472.99614350419006;[469.07881984034833, 476.6305225892023, 496.3722704355237, 435.75581848483, 487.1432861710459];0
